list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
134447116,VF2,New,2026,Ho Chi Minh City,179000000,,Not mentioned,19,19,180000000.0,179000000.0,180000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF2 Chỉ từ 12X Triệu | chỉ từ 2Tr/tháng
131833297,VF9,New,2026,Ho Chi Minh City,1529000000,,Not mentioned,29,10,1348000000.0,1245000000.0,1348000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF9 Plus Xám XE SẴN GIAO NGAY
134299840,VF8,Used,2023,Ho Chi Minh City,620000000,53000.0,Not mentioned,19,8,645000000.0,585000000.0,679000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF8 ECO 2023 Đen 53000 km
134448245,VF3,New,2026,Ho Chi Minh City,276000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 3 Sẵn giao ngay| Chỉ từ 3Tr/tháng
133257570,VF9,New,2026,Ho Chi Minh City,1348000000,,Not mentioned,29,10,1348000000.0,1245000000.0,1348000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF9 VAY ĐẾN 100% – LÃI CỐ ĐỊNH 5% TRONG 3 NĂM
133251960,Limo Green,New,2026,Ho Chi Minh City,664000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",ĐƯA TRƯỚC CHỈ 68 TRIỆU — NHẬN NGAY VINFAST LIMO
132892088,VF9,New,2026,Ho Chi Minh City,1229000000,,Not mentioned,29,10,1348000000.0,1245000000.0,1348000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",TẬN HƯỞNG ĐẲNG CẤP TRÊN VF9 - SỞ HỮU DỄ DÀNG
133670812,VF3,New,2026,Ho Chi Minh City,278000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",MUA VF3 DỄ DÀNG TRẢ TRƯỚC CHỈ 10%-BAO HS XẤU
134459065,VF5,New,2026,Ho Chi Minh City,436000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Giá lăn bánh Vinfast VF5. Xe sẵn giao ngay
134458001,Limo Green,New,2026,Ho Chi Minh City,652000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",Giá lăn bánh Limo Green. Xe sẵn giao ngay
133963919,VF3,New,2026,Ho Chi Minh City,278000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF3 XE TẠI KHO GIAO NGAY - HT HS XẤU -VAY TỚI 100%
134359816,VF5,Used,2024,Ho Chi Minh City,379000000,45000.0,Purchase mentioned,11,10,368000000.0,350000000.0,379500000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF5 PLUS 2024 PIN MUA XE GIA ĐÌNH SẠC KGH
134329128,VF2,New,2026,Ho Chi Minh City,179000000,,Not mentioned,19,19,180000000.0,179000000.0,180000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 2 GIÁ CỰC TỐT TRONG THÁNG 08
132424479,VF5,New,2026,Ho Chi Minh City,436000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",XẢ KHO VinFast VF5 - 36tr trả trước nhận xe
134446325,VF3,New,2026,Ho Chi Minh City,285000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",CHỈ 40TR CÓ NGAY VF3 - KO CẦN CHỨNG MINH THU NHẬP
132416736,VF3,New,2026,Da Nang City,259000000,,Not mentioned,11,8,275000000.0,260500000.0,282500000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",Xe ô tô điện Vinfast VF 3 Hồng giá cực tốt sẵn xe
132416774,VF3,New,2026,Da Nang City,259000000,,Not mentioned,11,8,275000000.0,260500000.0,282500000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",Chỉ cần đưa trước 50 triệu có ngay xe VF 3 mới
133780192,VF3,New,2026,Da Nang City,275000000,,Not mentioned,11,8,275000000.0,260500000.0,282500000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 2026
